"FDAapprovedDrugs","silver(1+) ion 4-{[(pyrimidin-2-yl)azanidyl]sulfonyl}aniline,[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1"
"FDAapprovedDrugs","1-(2-{4-[5-chloro-1-(4-fluorophenyl)-1H-indol-3-yl]piperidin-1-yl}ethyl)imidazolidin-2-one,FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2"
"FDAapprovedDrugs","7-chloro-5-(2-fluorophenyl)-1-(2,2,2-trifluoroethyl)-2,3-dihydro-1H-1,4-benzodiazepine-2-thione","FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2"
"FDAapprovedDrugs","5-fluoro-1,2,3,4-tetrahydropyrimidine-2,4-dione","FC1=CNC(=O)NC1=O"
"FDAapprovedDrugs","1,1,1,3,3,3-hexafluoro-2-(fluoromethoxy)propane","FCOC(C(F)(F)F)C(F)(F)F"
"FDAapprovedDrugs","6,8-dioxa-7-platinaspiro[3.5]nonane-5,9-dione diamine","N.N.O=C1O[Pt]OC(=O)C11CCC1"
"FDAapprovedDrugs","(6R,7S)-7-[(2R)-2-amino-2-phenylacetamido]-3-chloro-8-oxo-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid","N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1"
"FDAapprovedDrugs","(3R)-3-amino-1-[3-(trifluoromethyl)-5H,6H,7H,8H-[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)butan-1-one","N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F"
"FDAapprovedDrugs","(2S)-2-amino-3-carbamoylpropanoic acid,N[C@@H](CC(N)=O)C(O)=O"
"FDAapprovedDrugs","(2S)-2-aminobutanedioic acid,N[C@@H](CC(O)=O)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]propanoic acid","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid","N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-{4-[bis(2-chloroethyl)amino]phenyl}propanoic acid,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-phenylpropanoic acid,N[C@@H](CC1=CC=CC=C1)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,N[C@@H](CC1=CN=CN1)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid,N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-4-{[(1R)-1-[(carboxymethyl)carbamoyl]-2-sulfanylethyl]carbamoyl}butanoic acid,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-4-carbamoylbutanoic acid,N[C@@H](CCC(N)=O)C(O)=O"
"FDAapprovedDrugs","(2S)-2-aminopentanedioic acid,N[C@@H](CCC(O)=O)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-5-carbamimidamidopentanoic acid,N[C@@H](CCCNC(N)=N)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-5-(carbamoylamino)pentanoic acid,N[C@@H](CCCNC(N)=O)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-(3-hydroxy-4-oxo-1,4-dihydropyridin-1-yl)propanoic acid","N[C@@H](CN1C=CC(=O)C(O)=C1)C(O)=O"
"FDAapprovedDrugs","(2S)-2-amino-3-hydroxypropanoic acid,N[C@@H](CO)C(O)=O"
"FDAapprovedDrugs","(2R)-2-amino-3-sulfanylpropanoic acid,N[C@@H](CS)C(O)=O"
"FDAapprovedDrugs","(2Z)-7-{[(2R)-2-amino-2-carboxyethyl]sulfanyl}-2-{[(1S)-2,2-dimethylcyclopropyl]formamido}hept-2-enoic acid","N[C@@H](CSCCCC\C=C(/NC(=O)[C@H]1CC1(C)C)C(=O)O)C(=O)O"
"FDAapprovedDrugs","(2R)-2-amino-3-{[(2R)-2-amino-2-carboxyethyl]disulfanyl}propanoic acid,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O"
"FDAapprovedDrugs","(1R)-2-phenylcyclopropan-1-amine,N[C@@H]1CC1C1=CC=CC=C1"
"FDAapprovedDrugs","7-[(3R)-3-aminoazepan-1-yl]-8-chloro-1-cyclopropyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid","N[C@@H]1CCCCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O"
"FDAapprovedDrugs","(4R)-4-amino-1,2-oxazolidin-3-one","N[C@@H]1CONC1=O"
"FDAapprovedDrugs","(2R,3S)-2-amino-3-(3,4-dihydroxyphenyl)-3-hydroxypropanoic acid","N[C@H]([C@@H](O)C1=CC(O)=C(O)C=C1)C(O)=O"
"FDAapprovedDrugs","(1S,3S,5S)-2-[(2S)-2-amino-2-(3-hydroxyadamantan-1-yl)acetyl]-2-azabicyclo[3.1.0]hexane-3-carbonitrile","N[C@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C#N)C12CC3CC(CC(O)(C3)C1)C2"
"FDAapprovedDrugs","(2R)-2-amino-3-[4-(4-hydroxy-3,5-diiodophenoxy)-3,5-diiodophenyl]propanoic acid","N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O"
"FDAapprovedDrugs","(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol","N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O"
"FDAapprovedDrugs","dichloroplatinumdiamine,N[Pt](N)(Cl)Cl"
"FDAapprovedDrugs","(3R)-3-cyclopentyl-3-(4-{7H-pyrrolo[2,3-d]pyrimidin-4-yl}-1H-pyrazol-1-yl)propanenitrile","N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1"
"FDAapprovedDrugs","4-[(4-cyanophenyl)(1H-1,2,4-triazol-1-yl)methyl]benzonitrile","N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N"
"FDAapprovedDrugs","2-(1,3-thiazol-4-yl)-1H-1,3-benzodiazole","N1C2=CC=CC=C2N=C1C1=CSC=N1"
"FDAapprovedDrugs","4-{[5-(4-carbamimidoylphenoxy)pentyl]oxy}benzene-1-carboximidamide,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1"
"FDAapprovedDrugs","1,2,3,4-tetrahydroisoquinoline-2-carboximidamide","NC(=N)N1CCC2=CC=CC=C2C1"
"FDAapprovedDrugs","1-carbamimidamido-N-(2-phenylethyl)methanimidamide,NC(=N)NC(=N)NCCC1=CC=CC=C1"
"FDAapprovedDrugs","N-carbamimidoyl-2-(2,6-dichlorophenyl)acetamide","NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl"
"FDAapprovedDrugs","2-[(3S)-1-[2-(2,3-dihydro-1-benzofuran-5-yl)ethyl]pyrrolidin-3-yl]-2,2-diphenylacetamide","NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1"
"FDAapprovedDrugs","2-hydroxybenzamide,NC(=O)C1=CC=CC=C1O"
"FDAapprovedDrugs","5-{4-[4-(5-cyano-1H-indol-3-yl)butyl]piperazin-1-yl}-1-benzofuran-2-carboxamide,NC(=O)C1=CC2=C(O1)C=CC(=C2)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1"
"FDAapprovedDrugs","{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}[({[(2R,3S,4R,5R)-5-(3-carbamoyl-1,4-dihydropyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy]phosphinic acid","NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O"
"FDAapprovedDrugs","1-[(2,6-difluorophenyl)methyl]-1H-1,2,3-triazole-4-carboxamide","NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1"
"FDAapprovedDrugs","pyrazine-2-carboxamide,NC(=O)C1=NC=CN=C1"
"FDAapprovedDrugs","1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-1,2,4-triazole-3-carboxamide","NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"FDAapprovedDrugs","(2S)-2-{[(2S)-1-{[(4R,7S,10S,13S,16S)-13-benzyl-10-(2-carbamoylethyl)-7-(carbamoylmethyl)-16-[(4-hydroxyphenyl)methyl]-6,9,12,15,18-pentaoxo-1,2-dithia-5,8,11,14,17-pentaazacycloicosan-4-yl]carbonyl}pyrrolidin-2-yl]formamido}-5-carbamimidamido-N-(carbamoylmethyl)pentanamide","NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O"
"FDAapprovedDrugs","2-(2-amino-3-benzoylphenyl)acetamide,NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N"
"FDAapprovedDrugs","4-{[(4-chlorophenyl)[(1E)-3-fluoro-6-oxocyclohexa-2,4-dien-1-ylidene]methyl]amino}butanamide","NC(=O)CCCN\C(C1=CC=C(Cl)C=C1)=C1/C=C(F)C=CC1=O"
"FDAapprovedDrugs","2-(diphenylmethane)sulfinylacetamide,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1"
"FDAapprovedDrugs","(2S)-2-(carbamoylamino)pentanedioic acid,NC(=O)N[C@@H](CCC(O)=O)C(O)=O"
"FDAapprovedDrugs","[(E)-[(5-nitrofuran-2-yl)methylidene]amino]urea,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O"
"FDAapprovedDrugs","2-azatricyclo[9.4.0.0^{3,8}]pentadeca-1(11),3(8),4,6,9,12,14-heptaene-2-carboxamide","NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12"
"FDAapprovedDrugs","9-oxo-2-azatricyclo[9.4.0.0^{3,8}]pentadeca-1(11),3(8),4,6,12,14-hexaene-2-carboxamide","NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12"
"FDAapprovedDrugs","(2-phenylacetyl)urea,NC(=O)NC(=O)CC1=CC=CC=C1"
"FDAapprovedDrugs","hydroxyurea,NC(=O)NO"
"FDAapprovedDrugs","1-ethynylcyclohexyl carbamate,NC(=O)OC1(CCCCC1)C#C"
"FDAapprovedDrugs","3-(carbamoyloxy)-2-phenylpropyl carbamate,NC(=O)OCC(COC(N)=O)C1=CC=CC=C1"
"FDAapprovedDrugs","4-aminohex-5-enoic acid,NC(CCC(O)=O)C=C"
"FDAapprovedDrugs","guanidine,NC(N)=N"
"FDAapprovedDrugs","3,5-diamino-6-chloro-N-(diaminomethylidene)pyrazine-2-carboxamide","NC(N)=NC(=O)C1=C(N)N=C(N)C(Cl)=N1"
"FDAapprovedDrugs","3-[({2-[(diaminomethylidene)amino]-1,3-thiazol-4-yl}methyl)sulfanyl]-N'-sulfamoylpropanimidamide","NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1"
"FDAapprovedDrugs","2-[(3-iodophenyl)methyl]guanidine,NC(N)=NCC1=CC(I)=CC=C1"
"FDAapprovedDrugs","2-{1,4-dioxaspiro[4.5]decan-2-ylmethyl}guanidine","NC(N)=NCC1COC2(CCCCC2)O1"
"FDAapprovedDrugs","2-[2-(azocan-1-yl)ethyl]guanidine,NC(N)=NCCN1CCCCCCC1"
"FDAapprovedDrugs","2-{[(2,6-dichlorophenyl)methylidene]amino}guanidine","NC(N)=NN=CC1=C(Cl)C=CC=C1Cl"
"FDAapprovedDrugs","(2R,3S,4R,5R,6R)-5-amino-2-(aminomethyl)-6-{[(1R,2R,3S,4R,6S)-4,6-diamino-2-{[(2S,3R,4S,5R)-4-{[(2R,3R,4R,5S,6S)-3-amino-6-(aminomethyl)-4,5-dihydroxyoxan-2-yl]oxy}-3-hydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}-3-hydroxycyclohexyl]oxy}oxane-3,4-diol","NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O"
"FDAapprovedDrugs","(2R,3S,4R,5R,6R)-5-amino-2-(aminomethyl)-6-{[(1R,2R,3S,4R,6S)-4,6-diamino-2-{[(2S,3R,4S,5R)-4-{[(2R,3R,4R,5S,6S)-3-amino-6-(aminomethyl)-4,5-dihydroxyoxan-2-yl]oxy}-3-hydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}-3-hydroxycyclohexyl]oxy}oxane-3,4-diol","NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O"
"FDAapprovedDrugs","(2R,3S,4R,5R,6S)-5-amino-6-{[(1R,2R,3S,4R,6S)-4,6-diamino-2-{[(2S,3R,4S,5R)-4-{[(2R,3R,4R,5S,6S)-3-amino-6-(aminomethyl)-4,5-dihydroxyoxan-2-yl]oxy}-3-hydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}-3-hydroxycyclohexyl]oxy}-2-(hydroxymethyl)oxane-3,4-diol","NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O"
"FDAapprovedDrugs","4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol","NC[C@H](O)C1=CC(O)=C(O)C=C1"
"FDAapprovedDrugs","(1r,4r)-4-(aminomethyl)cyclohexane-1-carboxylic acid","NC[C@H]1CC[C@@H](CC1)C(O)=O"
"FDAapprovedDrugs","(2S,3R,4S,5S,6R)-4-amino-2-{[(1S,2S,3R,4S,6R)-4,6-diamino-3-{[(2R,3R,5S,6R)-3-amino-6-(aminomethyl)-5-hydroxyoxan-2-yl]oxy}-2-hydroxycyclohexyl]oxy}-6-(hydroxymethyl)oxane-3,5-diol","NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O"
"FDAapprovedDrugs","(2R,3S,4S,5R,6R)-2-(aminomethyl)-6-{[(1R,2R,3S,4R,6S)-4,6-diamino-3-{[(2S,3R,4S,5S,6R)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-2-hydroxycyclohexyl]oxy}oxane-3,4,5-triol","NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O"
"FDAapprovedDrugs","2-{2-amino-3-[(4-bromophenyl)carbonyl]phenyl}acetic acid,NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1"
"FDAapprovedDrugs","6-amino-5-fluoro-1,2-dihydropyrimidin-2-one","NC1=C(F)C=NC(=O)N1"
"FDAapprovedDrugs","1,2,3,4-tetrahydroacridin-9-amine","NC1=C2CCCCC2=NC2=CC=CC=C12"
"FDAapprovedDrugs","(2R,3R,4S,5R)-2-(6-amino-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1"
"FDAapprovedDrugs","({[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)phosphonic acid","NC1=C2N=CN([C@@H]3O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1"
"FDAapprovedDrugs","{[(2R,3S,4S,5R)-5-(6-amino-2-fluoro-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]3O)C2=NC(F)=N1"
"FDAapprovedDrugs","{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1"
"FDAapprovedDrugs","(2R,3S,5R)-5-(6-amino-2-chloro-9H-purin-9-yl)-2-(hydroxymethyl)oxolan-3-ol","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1"
"FDAapprovedDrugs","7H-purin-6-amine,NC1=C2NC=NC2=NC=N1"
"FDAapprovedDrugs","3-amino-5-(pyridin-4-yl)-1,2-dihydropyridin-2-one","NC1=CC(=CNC1=O)C1=CC=NC=C1"
"FDAapprovedDrugs","2,6-diamino-4-(piperidin-1-yl)pyrimidin-1-ium-1-olate","NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1"
"FDAapprovedDrugs","5-amino-2-hydroxybenzoic acid,NC1=CC(C(O)=O)=C(O)C=C1"
"FDAapprovedDrugs","2,6-dichloro-1-N-(4,5-dihydro-1H-imidazol-2-yl)benzene-1,4-diamine","NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1"
"FDAapprovedDrugs","4-amino-2-hydroxybenzoic acid,NC1=CC(O)=C(C=C1)C(O)=O"
"FDAapprovedDrugs","2-[(4-aminophenyl)formamido]acetic acid,NC1=CC=C(C=C1)C(=O)NCC(O)=O"
"FDAapprovedDrugs","4-[(4-aminobenzene)sulfonyl]aniline,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1"
"FDAapprovedDrugs","4-amino-N-(pyridin-2-yl)benzene-1-sulfonamide,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1"
"FDAapprovedDrugs","4-amino-N-(1-phenyl-1H-pyrazol-5-yl)benzene-1-sulfonamide,NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1"
"FDAapprovedDrugs","4-amino-N-(pyrimidin-2-yl)benzene-1-sulfonamide,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1"
"FDAapprovedDrugs","4-amino-N-(1,3-thiazol-2-yl)benzene-1-sulfonamide","NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1"
"FDAapprovedDrugs","4-aminobenzene-1-sulfonamide,NC1=CC=C(C=C1)S(N)(=O)=O"
"FDAapprovedDrugs","4-amino-2-(2,6-dioxopiperidin-3-yl)-2,3-dihydro-1H-isoindole-1,3-dione","NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O"
"FDAapprovedDrugs","3-(4-amino-1-oxo-2,3-dihydro-1H-isoindol-2-yl)piperidine-2,6-dione","NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O"
"FDAapprovedDrugs","pyridin-4-amine,NC1=CC=NC=C1"
"FDAapprovedDrugs","acridine-3,6-diamine","NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1"
"FDAapprovedDrugs","2-amino-9-[(1S,3R,4S)-4-hydroxy-3-(hydroxymethyl)-2-methylidenecyclopentyl]-6,9-dihydro-3H-purin-6-one","NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](CO)C1=C"
"FDAapprovedDrugs","2-amino-9-[4-hydroxy-3-(hydroxymethyl)butyl]-6,9-dihydro-3H-purin-6-one","NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2"
"FDAapprovedDrugs","2-amino-9-{[(1,3-dihydroxypropan-2-yl)oxy]methyl}-6,9-dihydro-3H-purin-6-one","NC1=NC(=O)C2=C(N1)N(COC(CO)CO)C=N2"
"FDAapprovedDrugs","2-amino-9-[(2-hydroxyethoxy)methyl]-6,9-dihydro-3H-purin-6-one","NC1=NC(=O)C2=C(N1)N(COCCO)C=N2"
"FDAapprovedDrugs","(2R)-2-{[4-(2-{2-amino-4-oxo-1H,4H,7H-pyrrolo[2,3-d]pyrimidin-5-yl}ethyl)phenyl]formamido}pentanedioic acid","NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)N1"
"FDAapprovedDrugs","(2S)-2-[(4-{[(2-amino-4-oxo-1,4,5,6,7,8-hexahydropteridin-6-yl)methyl]amino}phenyl)formamido]pentanedioic acid","NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1"
"FDAapprovedDrugs","(2R)-2-[(4-{[(2-amino-5-formyl-4-oxo-1,4,5,6,7,8-hexahydropteridin-6-yl)methyl]amino}phenyl)formamido]pentanedioic acid","NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@H](CCC(O)=O)C(O)=O)N2C=O)N1"
"FDAapprovedDrugs","(2S)-2-[(4-{[(2-amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}phenyl)formamido]pentanedioic acid","NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1"
"FDAapprovedDrugs","({[(2S)-1-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3-hydroxypropan-2-yl]oxy}methyl)phosphonic acid","NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1"
"FDAapprovedDrugs","4-amino-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]-1,2-dihydropyrimidin-2-one","NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1"
"FDAapprovedDrugs","4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydropyrimidin-2-one","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O"
"FDAapprovedDrugs","4-amino-1-[(2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydropyrimidin-2-one","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F"
"FDAapprovedDrugs","4-amino-1-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydropyrimidin-2-one","NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1"
"FDAapprovedDrugs","4-amino-5-fluoro-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]-1,2-dihydropyrimidin-2-one","NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1"
"FDAapprovedDrugs","4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydro-1,3,5-triazin-2-one","NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"FDAapprovedDrugs","4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydro-1,3,5-triazin-2-one","NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1"
"FDAapprovedDrugs","2-amino-6,7-dihydro-3H-purine-6-thione","NC1=NC(=S)C2=C(N1)N=CN2"
"FDAapprovedDrugs","2-(2-amino-1,3-thiazol-4-yl)-N-[4-(2-{[(2R)-2-hydroxy-2-phenylethyl]amino}ethyl)phenyl]acetamide","NC1=NC(CC(=O)NC2=CC=C(CCNC[C@H](O)C3=CC=CC=C3)C=C2)=CS1"
"FDAapprovedDrugs","3-[(E)-2-phenyldiazen-1-yl]pyridine-2,6-diamine","NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1"
"FDAapprovedDrugs","6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine","NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1"
"FDAapprovedDrugs","6-phenylpteridine-2,4,7-triamine","NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1"
"FDAapprovedDrugs","(2R,3S,4S,5R)-2-(6-amino-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O"
"FDAapprovedDrugs","[(1S,4R)-4-[2-amino-6-(cyclopropylamino)-9H-purin-9-yl]cyclopent-2-en-1-yl]methanol","NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1"
"FDAapprovedDrugs","6-(trifluoromethoxy)-1,3-benzothiazol-2-amine","NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2"
"FDAapprovedDrugs","(2S)-2-({4-[1-(2,4-diaminopteridin-6-yl)pent-4-yn-2-yl]phenyl}formamido)pentanedioic acid","NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1"
"FDAapprovedDrugs","2,4-diazatetracyclo[12.4.0.0^{2,6}.0^{7,12}]octadeca-1(14),3,7(12),8,10,15,17-heptaen-3-amine","NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21"
"FDAapprovedDrugs","adamantan-1-amine,NC12CC3CC(CC(C3)C1)C2"
"FDAapprovedDrugs","5-amino-4-oxopentanoic acid,NCC(=O)CCC(O)=O"
